title,url,category
"
                                Ratchet & Clank Rift Apart  CD Game For PlayStation 5 - (IBS Warranty)                            ",https://2b.com.eg/en/ratchet-clank-rift-apart-cd-game-for-playstation-5-ibs-warranty.html,Gaming
"
                                Spider Man Miles Morales CD Game - PPSA01461                            ",https://2b.com.eg/en/spider-man-miles-morales-cd-game-ppsa01461.html,Gaming
"
                                Devil May Cry 5 CD Game For PlayStation 5                            ",https://2b.com.eg/en/devil-may-cry-5-cd-game-for-playstation-5.html,Gaming
"
                                Immortals Fenyx Rising CD Game For PlayStation 5                            ",https://2b.com.eg/en/immortals-fenyx-rising-cd-game-for-playstation-5.html,Gaming
"
                                Fifa 2021 CD Game For PlayStation 5                            ",https://2b.com.eg/en/fifa-2021-cd-game-for-playstation-5.html,Gaming
"
                                5 Games Bundle  (Spider-Man- Uncharted the Nathan Drake Collection - Days Gone - Ratchet Clank - Horizon Zero Dawn)                             ",https://2b.com.eg/en/5-games-bundle-spider-man-uncharted-the-nathan-drake-collection-days-gone-ratchet-clank-horizon-zero-dawn.html,Gaming
"
                                Minecraft Dungeons Hero Edition 2021 CD Game For PlayStation 4                            ",https://2b.com.eg/en/minecraft-dungeons-hero-edition-2021-cd-game-for-playstation-4.html,Gaming
"
                                L’avvento (MP300) Aromatherapy Low Temperature Ultraviolet Sterilizer with QI wireless Charger                             ",https://2b.com.eg/en/l-avvento-mp300-aromatherapy-low-temperature-ultraviolet-sterilizer-with-qi-wireless-charger.html,Home Appliances
"
                                Braun All-in-one trimmer 6-in-1 - MGK 3221                            ",https://2b.com.eg/en/braun-all-in-one-trimmer-6-in-1-mgk-3221.html,Home Appliances
"
                                L’avvento (FM001) Face Protection Mask - Black                             ",https://2b.com.eg/en/l-avvento-fm001-face-protection-mask-black.html,Home Appliances
"
                                Face Mask (FM003) 3 Layers Cotton - Black                            ",https://2b.com.eg/en/2b-fm003-face-mask3-layers-cotton-black.html,Home Appliances
"
                                Face Mask (FM03A) 3 Layers Cotton - Gray                            ",https://2b.com.eg/en/face-mask-fm03a-3-layers-cotton-gray.html,Home Appliances
"
                                Face Shield Protector - Clear                            ",https://2b.com.eg/en/face-shield-protector.html,Home Appliances
"
                                Face Mask (FM013) 3 Layers Cotton Medium - Black                            ",https://2b.com.eg/en/face-mask-fm013-3-layers-cotton-medium-black.html,Home Appliances
"
                                Lifebuoy Hand Gel - 80 m                            ",https://2b.com.eg/en/lifebbuoy-hand-gel-80-m.html,Home Appliances
"
                                Dettol 20 Wipes - 6295120011379                            ",https://2b.com.eg/en/dettol-20-wipes-6295120011379.html,Home Appliances
"
                                Dettol Antiseptic Liquid Original - 725ml                            ",https://2b.com.eg/en/dettol-antiseptic-liquid-original-750m.html,Home Appliances
"
                                Avuva Moisturizing Sanitizer - Geranium Flower                            ",https://2b.com.eg/en/avuva-moisturizing-hand-gel-geranium-flower.html,Home Appliances
"
                                Avuva Moisturizing Sanitizer - Japanese Kumquat - 6224008041979                            ",https://2b.com.eg/en/avuva-moisturizing-hand-gel-japanese-kumquat.html,Home Appliances
"
                                Pharmix Spray 70% Alcohol - 100ml                            ",https://2b.com.eg/en/pharmix-spray-70-alcohol-100ml.html,Home Appliances
"
                                Mienta 1 Cup Coffee Maker 300W - CM31416A - Black                             ",https://2b.com.eg/en/mienta-1-cup-coffee-maker-300w-cm31416a-black.html,Home Appliances
"
                                Sharp Refrigerator Inverter Digital No Frost 538 L - 2 Doors - Stainless - SJ-PV69G-ST                            ",https://2b.com.eg/en/sharp-refrigerator-inverter-digital-no-frost-538-l-2-doors-stainless-sj-pv69g-st.html,Home Appliances
"
                                Tornado Refrigerator Digital with Bottom Freezer Advanced No Frost 430L 2 Doors - Silver - RF-452BVT-SL                            ",https://2b.com.eg/en/tornado-refrigerator-digital-with-bottom-freezer-advanced-no-frost-430l-2-doors-silver-rf-452bvt-sl.html,Home Appliances
"
                                Fresh EGK17000 Glass Kettle - 1.7 Liter                            ",https://2b.com.eg/en/fresh-egk17000-glass-kettle-1-7-liter.html,Home Appliances
"
                                Tornado Refrigerator Digital with Bottom Freezer Advanced No Frost 560L  - 2 Doors  - Silver - RF-560BVT-SL                            ",https://2b.com.eg/en/tornado-refrigerator-digital-with-bottom-freezer-advanced-no-frost-560l-2-doors-silver-rf-560bvt-sl.html,Home Appliances
"
                                Sharp Refrigerator Inverter Digital No Frost 538L - 2 Doors - Black - SJ-PV69G-BK                            ",https://2b.com.eg/en/sharp-refrigerator-inverter-digital-no-frost-538l-2-doors-black-sj-pv69g-bk.html,Home Appliances
"
                                TORNADO Hand Blender 600 Watt With Stainless Steel Whisk - Black - THB-600C                            ",https://2b.com.eg/en/tornado-hand-blender-600-watt-with-stainless-steel-whisk-black-thb-600c.html,Home Appliances
"
                                Mienta Turkish Coffee Maker - CM31528A - 3 Colors                             ",https://2b.com.eg/en/mienta-turkish-coffee-maker-cm31528a.html,Home Appliances
"
                                Heller Oil Heater 11 Fins 2000WFor 12 meter with Fan - Beige - MAV 2011 T                            ",https://2b.com.eg/en/heller-oil-heater-11-fins-2000wfor-12-meter-with-fan-beige-mav-2011-t.html,Home Appliances
"
                                Toshiba Refrigerator Inverter No Frost 395L 2 Doors - Stainless - GR-EF51Z-DS                            ",https://2b.com.eg/en/toshiba-refrigerator-inverter-no-frost-395l-2-doors-stainless-gr-ef51z-ds.html,Home Appliances
"
                                Tornado Steam Iron 2200W With Ceramic Non-Stick Soleplate - Blue - TST-2200                            ",https://2b.com.eg/en/tornado-steam-iron-2200w-with-ceramic-non-stick-soleplate-blue-tst-2200.html,Home Appliances
"
                                Tornado Kettle Stainless Steel  1.7 L -1850-2200W - TKP-2217-TC - White                            ",https://2b.com.eg/en/tornado-kettle-stainless-steel-1-7-l-1850-2200w-tkp-2217-tc-white.html,Home Appliances
"
                                Toshiba Refrigerator No Frost 351 Liter 3 Door Silver - GR-EFV45-S                            ",https://2b.com.eg/en/toshiba-refrigerator-no-frost-351-liter-3-door-silver-gr-efv45-s.html,Home Appliances
"
                                Sharp Microwave Grill 34 L 1000W Stainless With Grill and 9 Cooking Menus R-770AR(ST)                            ",https://2b.com.eg/en/sharp-microwave-grill-34-l-1000w-stainless-with-grill-and-9-cooking-menus-r-770ar-st.html,Home Appliances
"
                                Sharp Refrigerator Inverter Digital No Frost 480 L- 2 Glass Doors - Silver - SJ-GV63G-SL                            ",https://2b.com.eg/en/sharp-refrigerator-inverter-digital-no-frost-480-l-2-glass-doors-silver-sj-gv63g-sl.html,Home Appliances
"
                                Sharp Refrigerator Defrost 122L Mini Bar - Silver - SJ-K155XJ-SL                            ",https://2b.com.eg/en/sharp-refrigerator-defrost-122l-mini-bar-silver-sj-k155xj-sl.html,Home Appliances
"
                                LG Refrigerator Linear Compressor 393L 14 Cubic -Door Cooling - Platinum Silver - GN-C562HLCU                            ",https://2b.com.eg/en/lg-refrigerator-linear-compressor-393l-14-cubic-door-cooling-platinum-silver-gn-c562hlcu.html,Home Appliances
"
                                BOSCH Mixed Screws Bits 46 Pieces 2607019504                            ",https://2b.com.eg/en/bosch-mixed-screws-bits-46-pieces-2607019504.html,Home Appliances
"
                                Bosch Mixed Screws Bits 38 Pieces + Flash light - 2607019506                            ",https://2b.com.eg/en/bosch-mixed-screws-bits-38-pieces-flash-light-2607019506.html,Home Appliances
"
                                MPT High Pressure Washer 1400w - MHPW1403                            ",https://2b.com.eg/en/mpt-high-pressure-washer-1400w.html,Home Appliances
"
                                MPT Blower 400 Watt suction, expel and Suction speeds - MAB4006V                            ",https://2b.com.eg/en/mpt-blower-400-watt-suction-expel-speeds-mab4006v.html,Home Appliances
"
                                MPT Impact Drill kit 550W - 13mm + Tool Set  MPTKO1                            ",https://2b.com.eg/en/mpt-impact-drill-kit-550w-13mm-tool-set.html,Home Appliances
"
                                Bosch Impact Drill Professional - 550W - Blue GSB 570                            ",https://2b.com.eg/en/bosch-impact-drillgsb-1300-professional-550w-gsb-1300.html,Home Appliances
"
                                MPT Electric Drill - 750 Watt - 13 mm - MED7503                            ",https://2b.com.eg/en/mpt-electric-drill-750-watt-13-mm-med7503.html,Home Appliances
"
                                BOSCH Mixed Screws Bits 38 Pieces - 2607011432                            ",https://2b.com.eg/en/bosch-mixed-screws-bits-38-pieces-2607011432.html,Home Appliances
"
                                Bosch GWS 700 Professional Angle Grinder - 710 w                            ",https://2b.com.eg/en/bosch-gws-700-professional-angle-grinder-710-w.html,Home Appliances
"
                                MPT Hot Air Gun 2000 W - MHG2003                            ",https://2b.com.eg/en/mpt-hot-air-gun-2000-w-mhg2003.html,Home Appliances
"
                                MPT Washing machine 1800w 140 bar MHPW1803                            ",https://2b.com.eg/en/mpt-washing-machine-1800w-140-bar.html,Home Appliances
"
                                MPT Washing machine 1600w 100 bar - MHPW1603                            ",https://2b.com.eg/en/mpt-washing-machine-1600w-100-bar-mhpw1603.html,Home Appliances
"
                                MPT Cutting And Grinding Missile 5"" 900 watt 11000 rpm - MAG9008                            ",https://2b.com.eg/en/mpt-cutting-and-grinding-missile-5-900-watt-11000-rpm-mag9008.html,Home Appliances
"
                                MPT Electric Drill 300w 6.5mm Item 6121 - MED3005                            ",https://2b.com.eg/en/mpt-electric-drill-300w-6-5mm-item-6121-med3005.html,Home Appliances
"
                                MPT Electric Drill - 3000rpm 400W 10mm - MED4006                             ",https://2b.com.eg/en/mpt-electric-drill-3000rpm-400w-10-mm-med4006.html,Home Appliances
"
                                MPT Electric Demolition Breaker 1100W - Item 6143 - MDB0810                            ",https://2b.com.eg/en/mpt-electric-demolition-breaker-1100w-item-6143-mdb0810.html,Home Appliances
"
                                MPT Cordless Hammer Drill - MCDT1626.B2 - Black*Red                             ",https://2b.com.eg/en/mpt-cordless-hammer-drill-mcdt1626-b2-black-red.html,Home Appliances
"
                                Dremel Glue Stick GG13 11 MM - 2615GG13JA                            ",https://2b.com.eg/en/dremel-glue-stick-gg13-11-mm.html,Home Appliances
"
                                Nikon Digital Cam B600 16 megapixels                             ",https://2b.com.eg/en/nikon-digital-cam-b600-16-megapixels.html,Accessories
"
                                Devia Tempered Glass Screen Protector for iPad Pro 11 - Crystal Clear                            ",https://2b.com.eg/en/devia-tempered-glass-screen-protector-for-ipad-pro-11-crystal-clear-1.html,Accessories
"
                                L’avvento (MP300) Aromatherapy Low Temperature Ultraviolet Sterilizer with QI wireless Charger                             ",https://2b.com.eg/en/l-avvento-mp300-aromatherapy-low-temperature-ultraviolet-sterilizer-with-qi-wireless-charger.html,Accessories
"
                                Xiaomi Mi Motion-Activated Night Light 2 - White                            ",https://2b.com.eg/en/xiaomi-mi-motion-activated-night-light-2-white.html,Accessories
"
                                Devia Global Multiple Function Charger World Wide Travel Plug Adapter Output USB*2, 5V, 2.5A                            ",https://2b.com.eg/en/devia-global-multiple-function-charger-world-wide-travel-plug-adapter-output-usb-2-5v-2-5a.html,Accessories
"
                                APC Easy UPS 700VA 230V - AVR                            ",https://2b.com.eg/en/apc-easy-ups-700va-230v-avr.html,Accessories
"
                                APC Back UPS 1200VA  230V - AVR - Schuko Sockets                            ",https://2b.com.eg/en/apc-back-ups-1200va-230v-avr-schuko-sockets.html,Accessories
"
                                APC Easy UPS 900VA 230V - AVR - Schuko Sockets                            ",https://2b.com.eg/en/apc-easy-ups-900va-230v-avr-schuko-sockets.html,Accessories
"
                                APC Easy UPS 2200VA 230V - AVR - Schuko Sockets                            ",https://2b.com.eg/en/apc-easy-ups-2200va-230v-avr-schuko-sockets.html,Accessories
"
                                APC Essential SurgeArrest 1 Outlet 2 USB Ports 230V Germany - Black                            ",https://2b.com.eg/en/apc-essential-surge-arrest-1-outlet-2-usb-ports-230v-germany-black.html,Accessories
"
                                2B (MO663) Business Series Wired Mouse - 2M - Black                            ",https://2b.com.eg/en/2b-business-series-wired-mouse-blue-track.html,Accessories
"
                                2B (MO16W) Optical wired mouse Piano finishing - Pink * White                            ",https://2b.com.eg/en/2b-mo16w-optical-wired-mouse-piano-finishing-pink-white.html,Accessories
"
                                Manhattan Wired Optical Mouse USB - 179331 - Black                            ",https://2b.com.eg/en/manhattan-wired-optical-mouse-usb-179331-black.html,Accessories
"
                                HP Wired Mouse 1000 - 4QM14AA - Black                            ",https://2b.com.eg/en/hp-wired-mouse-1000-4qm14aa-lack.html,Accessories
"
                                Microsoft Basic Optical Mouse Business Package  - 4YH-00007 - Black                            ",https://2b.com.eg/en/microsoft-basic-optical-mouse-business-package-4yh-00007.html,Accessories
"
                                HP X900 - Mouse Wired - V1S46AA - Black                            ",https://2b.com.eg/en/hp-x900-wired-mouse.html,Accessories
